"*On April 20, 2011, the calculation of the VXST was based solely on 30-day (5/21/11 exp. date) SPX options since SPXW options were not available on that date.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
2011-01-03,,,,16.04
2011-01-04,,,,16.06
2011-01-05,,,,15.57
2011-01-06,,,,15.71
2011-01-07,,,,15.01
2011-01-10,,,,15.81
2011-01-11,,,,14.93
2011-01-12,,,,14.82
2011-01-13,,,,14.92
2011-01-14,,,,14.3
2011-01-18,,,,16.34
2011-01-19,,,,17.74
2011-01-20,,,,16.98
2011-01-21,,,,17.32
2011-01-24,,,,17.38
2011-01-25,,,,17.75
2011-01-26,,,,16.27
2011-01-27,,,,15.07
2011-01-28,,,,21.25
2011-01-31,,,,20.5
2011-02-01,,,,17.21
2011-02-02,,,,16.83
2011-02-03,,,,15.38
2011-02-04,,,,14.19
2011-02-07,,,,15.33
2011-02-08,,,,14.56
2011-02-09,,,,14.3
2011-02-10,,,,14.53
2011-02-11,,,,14.79
2011-02-14,,,,16.16
2011-02-15,,,,16.58
2011-02-16,,,,16.87
2011-02-17,,,,15.81
2011-02-18,,,,14.92
2011-02-22,,,,22.09
2011-02-23,,,,22.77
2011-02-24,,,,21.51
2011-02-25,,,,18.47
2011-02-28,,,,18.3
2011-03-01,,,,21.59
2011-03-02,,,,20.78
2011-03-03,,,,16.85
2011-03-04,,,,17.69
2011-03-07,,,,20.97
2011-03-08,,,,19.34
2011-03-09,,,,19.93
2011-03-10,,,,22.89
2011-03-11,,,,19.4
2011-03-14,,,,21.93
2011-03-15,,,,25.9
2011-03-16,,,,31.04
2011-03-17,,,,28.62
2011-03-18,,,,25.31
2011-03-21,,,,21.02
2011-03-22,,,,20.17
2011-03-23,,,,19.06
2011-03-24,,,,17.42
2011-03-25,,,,17.49
2011-03-28,,,,19.84
2011-03-29,,,,17.46
2011-03-30,,,,16.98
2011-03-31,,,,16.31
2011-04-01,,,,15.15
2011-04-04,,,,16.72
2011-04-05,,,,15.81
2011-04-06,,,,15.21
2011-04-07,,,,15.93
2011-04-08,,,,17.21
2011-04-11,,,,18.39
2011-04-12,,,,18.93
2011-04-13,,,,17.97
2011-04-14,,,,15.99
2011-04-15,,,,14.28
2011-04-18,,,,17.63
2011-04-19,,,,15.91
2011-04-21,,,,13.03
2011-04-25,,,,15.05
2011-04-26,,,,15.16
2011-04-27,,,,14.61
2011-04-28,,,,12.81
2011-04-29,,,,13.09
2011-05-02,,,,15.16
2011-05-03,,,,15.71
2011-05-04,,,,16.37
2011-05-05,,,,18.87
2011-05-06,,,,18.89
2011-05-09,,,,16.56
2011-05-10,,,,14.58
2011-05-11,,,,16.8
2011-05-12,,,,15.1
2011-05-13,,,,17.13
2011-05-16,,,,19.71
2011-05-17,,,,18.33
2011-05-18,,,,16.25
2011-05-19,,,,14.92
2011-05-20,,,,18.1
2011-05-23,,,,18.87
2011-05-24,,,,17.87
2011-05-25,,,,16.83
2011-05-26,,,,14.62
2011-05-27,,,,14.79
2011-05-31,,,,14.89
2011-06-01,,,,19.1
2011-06-02,,,,18.93
2011-06-03,,,,17.99
2011-06-06,,,,19.35
2011-06-07,,,,18.41
2011-06-08,,,,19.02
2011-06-09,,,,18.11
2011-06-10,,,,18.92
2011-06-13,,,,20.28
2011-06-14,,,,18.44
2011-06-15,,,,22.03
2011-06-16,,,,24.63
2011-06-17,,,,23.13
2011-06-20,,,,20.74
2011-06-21,,,,20.18
2011-06-22,,,,18.64
2011-06-23,,,,20.07
2011-06-24,,,,22.47
2011-06-27,,,,21.99
2011-06-28,,,,19.83
2011-06-29,,,,16.96
2011-06-30,,,,15.14
2011-07-01,,,,15.29
2011-07-05,,,,15.85
2011-07-06,,,,15.66
2011-07-07,,,,15.29
2011-07-08,,,,15.56
2011-07-11,,,,20.14
2011-07-12,,,,21.5
2011-07-13,,,,20.65
2011-07-14,,,,22.19
2011-07-15,,,,19.82
2011-07-18,,,,22.13
2011-07-19,,,,19.69
2011-07-20,,,,19.75
2011-07-21,,,,17.54
2011-07-22,,,,16.96
2011-07-25,,,,20.4
2011-07-26,,,,20.83
2011-07-27,,,,24.41
2011-07-28,,,,27.52
2011-07-29,,,,30.35
2011-08-01,,,,26.85
2011-08-02,,,,27.78
2011-08-03,,,,24.7
2011-08-04,,,,39.89
2011-08-05,,,,37.58
2011-08-08,,,,68
2011-08-09,,,,43.38
2011-08-10,,,,56.66
2011-08-11,,,,46.98
2011-08-12,,,,38.41
2011-08-15,,,,32.94
2011-08-16,,,,33.09
2011-08-17,,,,31.22
2011-08-18,,,,46.55
2011-08-19,,,,47.41
2011-08-22,,,,44.57
2011-08-23,,,,37.81
2011-08-24,,,,37.43
2011-08-25,,,,44.08
2011-08-26,,,,36.34
2011-08-29,,,,33.39
2011-08-30,,,,34.67
2011-08-31,,,,32.33
2011-09-01,,,,31.78
2011-09-02,,,,31.94
2011-09-06,,,,39.24
2011-09-07,,,,32.44
2011-09-08,,,,34.41
2011-09-09,,,,40.42
2011-09-12,,,,40.45
2011-09-13,,,,37.63
2011-09-14,,,,35.03
2011-09-15,,,,32.79
2011-09-16,,,,32.52
2011-09-19,,,,34.6
2011-09-20,,,,34.49
2011-09-21,,,,37.76
2011-09-22,,,,43.49
2011-09-23,,,,42.66
2011-09-26,,,,40.17
2011-09-27,,,,38.93
2011-09-28,,,,42.81
2011-09-29,,,,39.79
2011-09-30,,,,43.73
2011-10-03,,,,48.64
2011-10-04,,,,41.47
2011-10-05,,,,37.58
2011-10-06,,,,34.96
2011-10-07,,,,33.62
2011-10-10,,,,31.3
2011-10-11,,,,30.01
2011-10-12,,,,29.02
2011-10-13,,,,27.71
2011-10-14,,,,26.49
2011-10-17,,,,33.95
2011-10-18,,,,32.21
2011-10-19,,,,34.7
2011-10-20,,,,36.7
2011-10-21,,,,32.15
2011-10-24,,,,30.19
2011-10-25,,,,33.57
2011-10-26,,,,30.33
2011-10-27,,,,24.95
2011-10-28,,,,23.03
2011-10-31,,,,30.88
2011-11-01,,,,36.72
2011-11-02,,,,33.06
2011-11-03,,,,29.5
2011-11-04,,,,28.43
2011-11-07,,,,28.39
2011-11-08,,,,24.57
2011-11-09,,,,38.14
2011-11-10,,,,32.13
2011-11-11,,,,28.03
2011-11-14,,,,31.23
2011-11-15,,,,31.57
2011-11-16,,,,34.12
2011-11-17,,,,32.62
2011-11-18,,,,30.26
2011-11-21,,,,33.34
2011-11-22,,,,31.03
2011-11-23,,,,33.6
2011-11-25,,,,33.95
2011-11-28,,,,31.88
2011-11-29,,,,30.4
2011-11-30,,,,27.43
2011-12-01,,,,27
2011-12-02,,,,27.78
2011-12-05,,,,28.84
2011-12-06,,,,28.5
2011-12-07,,,,30.19
2011-12-08,,,,31.62
2011-12-09,,,,24.44
2011-12-12,,,,25.99
2011-12-13,,,,25.63
2011-12-14,,,,25.62
2011-12-15,,,,24.07
2011-12-16,,,,22.76
2011-12-19,,,,23.16
2011-12-20,,,,21.55
2011-12-21,,,,20.62
2011-12-22,,,,19.72
2011-12-23,,,,17.81
2011-12-27,,,,20.6
2011-12-28,,,,22.42
2011-12-29,,,,19.42
2011-12-30,,,,19.36
2012-01-03,,,,20.63
2012-01-04,,,,19.32
2012-01-05,,,,18.25
2012-01-06,,,,17.01
2012-01-09,,,,17.61
2012-01-10,,,,17.48
2012-01-11,,,,17.12
2012-01-12,,,,16.65
2012-01-13,,,,17.69
2012-01-17,,,,22.07
2012-01-18,,,,20.67
2012-01-19,,,,17.41
2012-01-20,,,,16.12
2012-01-23,,,,18.12
2012-01-24,,,,18.08
2012-01-25,,,,17.36
2012-01-26,,,,16.4
2012-01-27,,,,16.63
2012-01-30,,,,18.47
2012-01-31,,,,18.44
2012-02-01,,,,16.87
2012-02-02,,,,15.78
2012-02-03,,,,15.34
2012-02-06,,,,16.64
2012-02-07,,,,16.11
2012-02-08,,,,16.33
2012-02-09,,,,16.56
2012-02-10,,,,19.66
2012-02-13,,,,18.45
2012-02-14,,,,19.23
2012-02-15,,,,21.26
2012-02-16,,,,17.12
2012-02-17,,,,16.23
2012-02-21,,,,17.44
2012-02-22,,,,17.09
2012-02-23,,,,14.83
2012-02-24,,,,15.09
2012-02-27,,,,16.94
2012-02-28,,,,16.57
2012-02-29,,,,16.85
2012-03-01,,,,15.06
2012-03-02,,,,14.44
2012-03-05,,,,15.98
2012-03-06,,,,20.1
2012-03-07,,,,17.37
2012-03-08,,,,16.98
2012-03-09,,,,15.3
2012-03-12,,,,15.54
2012-03-13,,,,16.35
2012-03-14,,,,16.72
2012-03-15,,,,14.29
2012-03-16,,,,13.47
2012-03-19,,,,14.62
2012-03-20,,,,15.31
2012-03-21,,,,15.37
2012-03-22,,,,15.9
2012-03-23,,,,14.33
2012-03-26,,,,14.3
2012-03-27,,,,15.43
2012-03-28,,,,14.93
2012-03-29,,,,14.55
2012-03-30,,,,14.2
2012-04-02,,,,14.77
2012-04-03,,,,14.36
2012-04-04,,,,12.92
2012-04-05,,,,14.7
2012-04-09,,,,17.87
2012-04-10,,,,19.84
2012-04-11,,,,18.69
2012-04-12,,,,15.99
2012-04-13,,,,19.07
2012-04-16,,,,20.13
2012-04-17,,,,18.84
2012-04-18,,,,18.85
2012-04-19,,,,18.09
2012-04-20,,,,16.85
2012-04-23,,,,19.1
2012-04-24,,,,17.87
2012-04-25,,,,16.14
2012-04-26,,,,14.7
2012-04-27,,,,14.65
2012-04-30,,,,16.55
2012-05-01,,,,15.63
2012-05-02,,,,16.23
2012-05-03,,,,16.94
2012-05-04,,,,18.42
2012-05-07,,,,18.46
2012-05-08,,,,19.09
2012-05-09,,,,20.24
2012-05-10,,,,18.64
2012-05-11,,,,20.19
2012-05-14,,,,22.56
2012-05-15,,,,22.63
2012-05-16,,,,22.41
2012-05-17,,,,25.44
2012-05-18,,,,26.6
2012-05-21,,,,21.93
2012-05-22,,,,22.03
2012-05-23,,,,21.75
2012-05-24,,,,19.22
2012-05-25,,,,19.21
2012-05-29,,,,19.48
2012-05-30,,,,23.39
2012-05-31,,,,22.41
2012-06-01,,,,26.2
2012-06-04,,,,24.67
2012-06-05,,,,23.17
2012-06-06,,,,19.31
2012-06-07,,,,19.62
2012-06-08,,,,19.85
2012-06-11,,,,26.39
2012-06-12,,,,24.22
2012-06-13,,,,26.19
2012-06-14,,,,25.22
2012-06-15,,,,24.32
2012-06-18,,,,19.17
2012-06-19,,,,19.53
2012-06-20,,,,17.44
2012-06-21,,,,20.92
2012-06-22,,,,17.94
2012-06-25,,,,20.4
2012-06-26,,,,18.74
2012-06-27,,,,17.12
2012-06-28,,,,18.14
2012-06-29,,,,15.01
2012-07-02,,,,15.11
2012-07-03,,,,14.68
2012-07-05,,,,15.78
2012-07-06,,,,15.01
2012-07-09,,,,17.13
2012-07-10,,,,18.1
2012-07-11,,,,17.26
2012-07-12,,,,18.01
2012-07-13,,,,14.7
2012-07-16,,,,16.53
2012-07-17,,,,15.63
2012-07-18,,,,15
2012-07-19,,,,14.32
2012-07-20,,,,15.61
2012-07-23,,,,19.02
2012-07-24,,,,21.16
2012-07-25,,,,19.31
2012-07-26,,,,17.8
2012-07-27,,,,16.3
2012-07-30,,,,18.86
2012-07-31,,,,19.86
2012-08-01,,,,20.79
2012-08-02,,,,16.64
2012-08-03,,,,14.2
2012-08-06,,,,14.85
2012-08-07,,,,14.68
2012-08-08,,,,13.52
2012-08-09,,,,13
2012-08-10,,,,12.45
2012-08-13,,,,13.15
2012-08-14,,,,13.02
2012-08-15,,,,12.37
2012-08-16,,,,12.35
2012-08-17,,,,11.5
2012-08-20,,,,12.24
2012-08-21,,,,13.21
2012-08-22,,,,13.15
2012-08-23,,,,13.67
2012-08-24,,,,13.1
2012-08-27,,,,14.89
2012-08-28,,,,15.21
2012-08-29,,,,15.29
2012-08-30,,,,16.87
2012-08-31,,,,15.73
2012-09-04,,,,17.43
2012-09-05,,,,17.9
2012-09-06,,,,14.98
2012-09-07,,,,13.25
2012-09-10,,,,16.94
2012-09-11,,,,16.94
2012-09-12,,,,15.95
2012-09-13,,,,14.46
2012-09-14,,,,14.12
2012-09-17,,,,14.1
2012-09-18,,,,13.44
2012-09-19,,,,13.07
2012-09-20,,,,12.89
2012-09-21,,,,13.22
2012-09-24,,,,13.23
2012-09-25,,,,14.8
2012-09-26,,,,16.44
2012-09-27,,,,14.05
2012-09-28,,,,15.24
2012-10-01,,,,15.63
2012-10-02,,,,14.56
2012-10-03,,,,14.11
2012-10-04,,,,13.43
2012-10-05,,,,12.23
2012-10-08,,,,14.17
2012-10-09,,,,15.98
2012-10-10,,,,15.93
2012-10-11,,,,14.47
2012-10-12,,,,15.49
2012-10-15,,,,14.32
2012-10-16,,,,13.57
2012-10-17,,,,13.22
2012-10-18,,,,13.65
2012-10-19,,,,17.64
2012-10-22,,,,16.78
2012-10-23,,,,20.61
2012-10-24,,,,18.94
2012-10-25,,,,18.27
2012-10-26,,,,16.8
2012-10-31,,,,19.15
2012-11-01,,,,17.35
2012-11-02,,,,18.51
2012-11-05,,,,20.45
2012-11-06,,,,19.3
2012-11-07,,,,19.87
2012-11-08,,,,18.18
2012-11-09,,,,18.5
2012-11-12,,,,16.27
2012-11-13,,,,16.25
2012-11-14,,,,18.67
2012-11-15,,,,18.93
2012-11-16,,,,17.06
2012-11-19,,,,15.57
2012-11-20,,,,15.24
2012-11-21,,,,15.33
2012-11-23,,,,15.25
2012-11-26,,,,16.01
